timestamp,EEG,label
0.07928705215454102,506,1
0.08165216445922852,526,1
0.08180952072143555,626,1
0.08191537857055664,456,1
0.08200287818908691,347,1
0.08208847045898438,521,1
0.08220887184143066,548,1
0.08230972290039062,651,1
0.08239912986755371,500,1
0.08247876167297363,339,1
0.08256363868713379,535,1
0.08264422416687012,583,1
0.08272314071655273,685,1
0.08280086517333984,572,1
0.08287739753723145,354,1
0.08295369148254395,512,1
0.08303189277648926,562,1
0.08310961723327637,639,1
0.08318638801574707,555,1
0.08329916000366211,331,1
0.08338022232055664,494,1
0.08345866203308105,562,1
0.08353567123413086,621,1
0.08361291885375977,566,1
0.08369112014770508,315,1
0.08376812934875488,430,1
0.08384466171264648,532,1
0.08392190933227539,574,1
0.08399820327758789,564,1
0.08407473564147949,340,1
0.0841515064239502,440,1
0.08422994613647461,579,1
0.08430814743041992,620,1
0.08438730239868164,640,1
0.0844721794128418,392,1
0.08455634117126465,425,1
0.0846714973449707,566,1
0.08475375175476074,593,1
0.08484172821044922,672,1
0.08499360084533691,470,1
0.0851597785949707,466,1
0.08526968955993652,638,1
0.08535909652709961,641,1
0.08547234535217285,693,1
0.08555960655212402,488,1
0.08563828468322754,423,1
0.08571624755859375,613,1
0.08579349517822266,633,1
0.08587074279785156,728,1
0.08595013618469238,568,1
0.08602714538574219,452,1
0.08610343933105469,637,1
0.08618712425231934,655,1
0.08626365661621094,748,1
0.08633995056152344,591,1
0.08641767501831055,424,1
0.08649587631225586,603,1
0.08657288551330566,620,1
0.08665060997009277,701,1
0.08672761917114258,582,1
0.08680367469787598,378,1
0.08688020706176758,541,1
0.0869603157043457,591,1
0.08703851699829102,664,1
0.08711838722229004,599,1
0.08723783493041992,389,1
0.08733630180358887,521,1
0.0874183177947998,601,1
0.08754730224609375,646,1
0.08769559860229492,615,1
0.08782339096069336,391,1
0.0879371166229248,507,1
0.08803915977478027,602,1
0.08813714981079102,633,1
0.08822488784790039,628,1
0.08835148811340332,389,1
0.0884559154510498,469,1
0.08854556083679199,601,1
0.08862447738647461,634,1
0.08874130249023438,663,1
0.08884835243225098,420,1
0.08897995948791504,463,1
0.08909988403320312,594,1
0.08919763565063477,600,1
0.08930063247680664,639,1
0.08938217163085938,423,1
0.08946037292480469,417,1
0.08953857421875,582,1
0.08961606025695801,583,1
0.08969330787658691,643,1
0.08977580070495605,453,1
0.0898747444152832,384,1
0.08997440338134766,546,1
0.09006333351135254,562,1
0.09016013145446777,637,1
0.09023785591125488,464,1
0.0903160572052002,359,1
0.0903933048248291,541,1
0.0904703140258789,551,1
0.09055590629577637,645,1
0.09065794944763184,505,1
0.09074616432189941,360,1
0.09082818031311035,539,1
0.09090733528137207,554,1
0.09098434448242188,624,1
0.09106183052062988,497,1
0.09113955497741699,313,1
0.0912163257598877,476,1
0.09129738807678223,517,1
0.09137439727783203,598,1
0.09145116806030273,525,1
0.0915379524230957,305,1
0.09161925315856934,462,1
0.09169697761535645,540,1
0.09177350997924805,610,1
0.09185075759887695,575,1
0.09197807312011719,339,1
0.09213042259216309,454,1
0.0922696590423584,553,1
0.09237504005432129,595,1
0.09251523017883301,600,1
0.09260201454162598,361,1
0.09268021583557129,457,1
0.0927731990814209,574,1
0.09285497665405273,596,1
0.09293198585510254,608,1
0.09300899505615234,378,1
0.09308528900146484,417,1
0.09316658973693848,571,1
0.09326291084289551,587,1
0.09334421157836914,631,1
0.09342169761657715,403,1
0.09349966049194336,409,1
0.09357619285583496,569,1
