delta,theta,alpha,beta,mean,std,label
2.5479191140280157,0.001254256381770089,2.5333387973377745e-05,2.614361890898214e-06,-0.97904413826322,4.445013532258281,0
2.5479191140280157,0.001254256381770089,2.5333387973377745e-05,2.614361890898214e-06,-0.97904413826322,4.445013532258281,0
2.5479191140280157,0.001254256381770089,2.5333387973377745e-05,2.614361890898214e-06,-0.97904413826322,4.445013532258281,0
2.5479191140280157,0.001254256381770089,2.5333387973377745e-05,2.614361890898214e-06,-0.97904413826322,4.445013532258281,0
11072.686387991747,3045.820216412521,1972.883980076735,1719.052837913433,151.4772945452936,1311.0244619537343,0
4478.330064145145,835.311782209139,355.6840635383685,166.8215161623557,6.751984432317524,85.16610219417356,0
2633.1163119282246,1412.1694594372816,321.2493371737613,196.65456305883302,-3.741174910928601,72.2437020678979,0
2468.858816775704,1061.1418941571333,508.8281343871629,117.20777036282799,-3.0614540090516296,70.85404431962682,0
981.2473171805659,1133.9145550177852,187.88646114479238,246.74279647211463,7.148576976964717,67.59926294720641,0
2369.383721297053,826.3605772154651,247.2029175754726,161.32189827573245,13.56689251434201,73.99249447762662,0
1184.7878915297315,628.5824685001523,257.26998362691575,132.29746346681284,-1.575136559730915,52.929141043002794,0
1327.1071349562444,400.1158799130624,287.89186828421714,127.09714735481953,4.391862732158373,52.82462937094019,0
2307.2029611468506,550.8734907175426,246.32539919736868,120.72625619994207,-1.0269470600723398,61.79339761924084,0
3047.386553525795,445.36032341104107,194.22723057039144,166.82298983191728,-3.814625803943904,57.96051108735493,0
1716.603111968651,433.95429211594563,245.81664973301196,127.72866939686918,18.350994115631284,75.40737390150177,0
2501.4337798916795,147.66936655719337,136.28767453297397,168.21592426268307,-4.584423020023672,51.818970001685955,0
3000.0923821037554,313.51098600745985,145.61083855742996,116.55605541031764,1.5888198094228398,59.17573277241551,0
1115.0769953336494,446.6657741475774,155.24121789588736,138.8474150160754,2.7465464200451564,42.99915059261521,0
1168.9468184463221,487.10583767762944,153.75148220494626,166.7254949603232,1.1875599233564764,53.049950926396285,0
2520.6414760976186,505.86265713123237,204.29420447907657,265.85422610097226,6.564586163712087,55.87953969258004,0
2490.0616651946602,455.24089264408786,210.16962088119013,125.52521881906382,-14.313155528460701,71.89201421356694,0
1947.7211547250904,306.0572580270289,132.7061044085551,153.22508576248677,-14.048910705506762,60.054602303322085,0
1513.813304740404,408.559953728732,202.83231283972597,103.56311149958383,5.544449932930046,46.3143737775957,0
942.4056746132102,701.0836031508652,104.70998193620122,159.30583581639607,7.214662318025531,52.68974611261909,0
1263.8844518504002,357.5787987444533,129.04719569259188,141.7954793426525,2.868755516626278,49.329621645913946,0
1210.4736463649065,400.41002929842205,230.65227868836493,128.60164650786535,7.111754546189049,50.132764286512696,0
720.7736992598236,329.147623640011,136.7248044986169,126.41796302070502,10.483456041469651,48.03957131251376,0
1154.2815846688177,392.4403634648537,160.6745762986758,157.98476326294988,1.7599016939977592,51.35016426451061,0
2449.853700801342,407.820057596551,100.43600996550131,75.55212271378537,-1.6840328050601734,53.804221706095355,0
1576.7119626353149,384.1646200797021,140.15512211909075,99.73084155881578,1.0261860101204978,53.09548029995663,0
7299.026449329549,589.2920609332091,215.52238183905308,214.81149576697896,-12.211355585534303,97.13566663557722,0
1928.4540484526906,430.43557599528094,210.16964265424878,179.21977139938878,-3.669929716301117,60.5561611448094,0
1412.9124622921568,696.6068732527781,242.09315534706212,341.07679965109736,1.010087311922467,61.86935025664759,0
1176.6598994445,455.69332173652884,460.48473830353777,294.7155561329167,2.2406476832237257,56.20598190566399,0
645.4960838430172,1096.9491285482295,144.3711716743213,285.34506168968386,-5.861358337266416,51.65636969187382,0
1482.9400423232155,419.02025020548723,133.04979821131496,161.98684050592342,-2.3763955892416724,44.770257832848515,0
1611.262211361844,387.9195509946038,213.88382860840653,178.23063175736957,-1.2691222351188252,53.87326897613609,0
802.9321660514215,490.8546565544236,117.13393037004482,126.39626926453998,5.02366971373089,50.973361709843196,0
1249.0043658991585,451.84020304769825,146.9712952926672,163.76085482631248,0.263481702780487,52.47981170773445,0
1213.7857768706629,642.1883415239181,221.67988499464232,154.04664111133084,19.208991434531676,65.95287761057375,0
733.6187607293054,278.89566466762426,179.025802005288,150.71676324468658,9.405117538068998,54.94311260300361,0
1322.2783000584877,916.4311440453456,248.4202886215628,239.9527159262236,5.668364262365339,52.821804158756294,0
510.24146971599026,549.7695497014165,199.49451762144196,134.19608961649757,11.046945475345243,47.96094751267549,0
1446.1766197452487,947.1052862611842,142.20057993323357,152.95219575738986,1.6717358014647696,53.86595405596607,0
1418.6690892642064,289.7226696543097,169.38788346698647,138.00124339105398,11.151757291523953,61.67575002675407,0
1354.2221182691856,415.44286801864007,263.3425121282826,93.93537117441143,12.687964750389746,61.374977654645015,0
983.9509805758477,519.3874360592704,179.33158285366844,131.27436444456683,-2.1294039635543385,50.664999608557665,0
